slot_u,slot_v,sign,carrier_law,external_edge_count
0,1,1,half_flip_x_plus_30_mod_60,60
0,4,1,half_flip_x_plus_30_mod_60,60
0,5,1,half_flip_x_plus_30_mod_60,60
0,6,1,half_flip_x_plus_30_mod_60,60
1,2,1,half_flip_x_plus_30_mod_60,60
1,6,1,half_flip_x_plus_30_mod_60,60
1,7,1,half_flip_x_plus_30_mod_60,60
2,3,1,half_flip_x_plus_30_mod_60,60
2,7,1,half_flip_x_plus_30_mod_60,60
2,8,1,half_flip_x_plus_30_mod_60,60
3,4,0,identity_x,60
3,8,1,half_flip_x_plus_30_mod_60,60
3,9,0,identity_x,60
4,5,1,half_flip_x_plus_30_mod_60,60
4,9,0,identity_x,60
5,10,1,half_flip_x_plus_30_mod_60,60
5,14,1,half_flip_x_plus_30_mod_60,60
6,12,0,identity_x,60
6,13,0,identity_x,60
7,10,0,identity_x,60
7,11,0,identity_x,60
8,13,0,identity_x,60
8,14,0,identity_x,60
9,11,0,identity_x,60
9,12,0,identity_x,60
10,11,0,identity_x,60
10,14,1,half_flip_x_plus_30_mod_60,60
11,12,0,identity_x,60
12,13,0,identity_x,60
13,14,0,identity_x,60
