slot_a,local_a,slot_b,local_b
0,0,0,16
0,0,0,19
0,0,0,25
0,0,0,55
0,0,1,30
0,0,4,30
0,0,5,30
0,0,6,30
0,1,0,15
0,1,0,26
0,1,0,29
0,1,0,35
0,1,1,31
0,1,4,31
0,1,5,31
0,1,6,31
0,2,0,25
0,2,0,36
0,2,0,39
0,2,0,45
0,2,1,32
0,2,4,32
0,2,5,32
0,2,6,32
0,3,0,35
0,3,0,46
0,3,0,49
0,3,0,55
0,3,1,33
0,3,4,33
0,3,5,33
0,3,6,33
0,4,0,15
0,4,0,45
0,4,0,56
0,4,0,59
0,4,1,34
0,4,4,34
0,4,5,34
0,4,6,34
0,5,0,11
0,5,0,14
0,5,0,20
0,5,0,50
0,5,1,35
0,5,4,35
0,5,5,35
0,5,6,35
0,6,0,10
0,6,0,21
0,6,0,24
0,6,0,30
0,6,1,36
0,6,4,36
0,6,5,36
0,6,6,36
0,7,0,20
0,7,0,31
0,7,0,34
0,7,0,40
0,7,1,37
0,7,4,37
0,7,5,37
0,7,6,37
0,8,0,30
0,8,0,41
0,8,0,44
0,8,0,50
0,8,1,38
0,8,4,38
0,8,5,38
0,8,6,38
0,9,0,10
0,9,0,40
0,9,0,51
0,9,0,54
0,9,1,39
0,9,4,39
0,9,5,39
0,9,6,39
0,10,0,24
0,10,0,51
0,10,1,40
0,10,4,40
0,10,5,40
0,10,6,40
0,11,0,17
0,11,0,20
0,11,0,23
0,11,1,41
0,11,4,41
0,11,5,41
0,11,6,41
0,12,0,16
0,12,0,18
0,12,0,24
0,12,0,58
0,12,1,42
0,12,4,42
0,12,5,42
0,12,6,42
0,13,0,17
0,13,0,51
0,13,0,57
0,13,0,59
0,13,1,43
0,13,4,43
0,13,5,43
0,13,6,43
0,14,0,50
0,14,0,52
0,14,0,58
0,14,1,44
0,14,4,44
0,14,5,44
0,14,6,44
0,15,0,26
0,15,0,59
0,15,1,45
0,15,4,45
0,15,5,45
0,15,6,45
0,16,0,55
0,16,0,58
0,16,1,46
0,16,4,46
0,16,5,46
0,16,6,46
0,17,0,23
0,17,0,59
0,17,1,47
0,17,4,47
0,17,5,47
0,17,6,47
0,18,0,22
0,18,0,24
0,18,0,26
0,18,1,48
0,18,4,48
0,18,5,48
0,18,6,48
0,19,0,23
0,19,0,25
0,19,0,27
0,19,1,49
0,19,4,49
0,19,5,49
0,19,6,49
0,20,0,34
0,20,1,50
0,20,4,50
0,20,5,50
0,20,6,50
0,21,0,27
0,21,0,30
0,21,0,33
0,21,1,51
0,21,4,51
0,21,5,51
0,21,6,51
0,22,0,26
0,22,0,28
0,22,0,34
0,22,1,52
0,22,4,52
0,22,5,52
0,22,6,52
0,23,0,27
0,23,1,53
0,23,4,53
0,23,5,53
0,23,6,53
0,24,1,54
0,24,4,54
0,24,5,54
0,24,6,54
0,25,0,36
0,25,1,55
0,25,4,55
0,25,5,55
0,25,6,55
0,26,1,56
0,26,4,56
0,26,5,56
0,26,6,56
0,27,0,33
0,27,1,57
0,27,4,57
0,27,5,57
0,27,6,57
0,28,0,32
0,28,0,34
0,28,0,36
0,28,1,58
0,28,4,58
0,28,5,58
0,28,6,58
0,29,0,33
0,29,0,35
0,29,0,37
0,29,1,59
0,29,4,59
0,29,5,59
0,29,6,59
0,30,0,44
0,30,1,0
0,30,4,0
0,30,5,0
0,30,6,0
0,31,0,37
0,31,0,40
0,31,0,43
0,31,1,1
0,31,4,1
0,31,5,1
0,31,6,1
0,32,0,36
0,32,0,38
0,32,0,44
0,32,1,2
0,32,4,2
0,32,5,2
0,32,6,2
0,33,0,37
0,33,1,3
0,33,4,3
0,33,5,3
0,33,6,3
0,34,1,4
0,34,4,4
0,34,5,4
0,34,6,4
0,35,0,46
0,35,1,5
0,35,4,5
0,35,5,5
0,35,6,5
0,36,1,6
0,36,4,6
0,36,5,6
0,36,6,6
0,37,0,43
0,37,1,7
0,37,4,7
0,37,5,7
0,37,6,7
0,38,0,42
0,38,0,44
0,38,0,46
0,38,1,8
0,38,4,8
0,38,5,8
0,38,6,8
0,39,0,43
0,39,0,45
0,39,0,47
0,39,1,9
0,39,4,9
0,39,5,9
0,39,6,9
0,40,0,54
0,40,1,10
0,40,4,10
0,40,5,10
0,40,6,10
0,41,0,47
0,41,0,50
0,41,0,53
0,41,1,11
0,41,4,11
0,41,5,11
0,41,6,11
0,42,0,46
0,42,0,48
0,42,0,54
0,42,1,12
0,42,4,12
0,42,5,12
0,42,6,12
0,43,0,47
0,43,1,13
0,43,4,13
0,43,5,13
0,43,6,13
0,44,1,14
0,44,4,14
0,44,5,14
0,44,6,14
0,45,0,56
0,45,1,15
0,45,4,15
0,45,5,15
0,45,6,15
0,46,1,16
0,46,4,16
0,46,5,16
0,46,6,16
0,47,0,53
0,47,1,17
0,47,4,17
0,47,5,17
0,47,6,17
0,48,0,52
0,48,0,54
0,48,0,56
0,48,1,18
0,48,4,18
0,48,5,18
0,48,6,18
0,49,0,53
0,49,0,55
0,49,0,57
0,49,1,19
0,49,4,19
0,49,5,19
0,49,6,19
0,50,1,20
0,50,4,20
0,50,5,20
0,50,6,20
0,51,0,57
0,51,1,21
0,51,4,21
0,51,5,21
0,51,6,21
0,52,0,56
0,52,0,58
0,52,1,22
0,52,4,22
0,52,5,22
0,52,6,22
0,53,0,57
0,53,1,23
0,53,4,23
0,53,5,23
0,53,6,23
0,54,1,24
0,54,4,24
0,54,5,24
0,54,6,24
0,55,1,25
0,55,4,25
0,55,5,25
0,55,6,25
0,56,1,26
0,56,4,26
0,56,5,26
0,56,6,26
0,57,1,27
0,57,4,27
0,57,5,27
0,57,6,27
0,58,1,28
0,58,4,28
0,58,5,28
0,58,6,28
0,59,1,29
0,59,4,29
0,59,5,29
0,59,6,29
1,0,1,16
1,0,1,19
1,0,1,25
1,0,1,55
1,0,2,30
1,0,6,30
1,0,7,30
1,1,1,15
1,1,1,26
1,1,1,29
1,1,1,35
1,1,2,31
1,1,6,31
1,1,7,31
1,2,1,25
1,2,1,36
1,2,1,39
1,2,1,45
1,2,2,32
1,2,6,32
1,2,7,32
1,3,1,35
1,3,1,46
1,3,1,49
1,3,1,55
1,3,2,33
1,3,6,33
1,3,7,33
1,4,1,15
1,4,1,45
1,4,1,56
1,4,1,59
1,4,2,34
1,4,6,34
1,4,7,34
1,5,1,11
1,5,1,14
1,5,1,20
1,5,1,50
1,5,2,35
1,5,6,35
1,5,7,35
1,6,1,10
1,6,1,21
1,6,1,24
1,6,1,30
1,6,2,36
1,6,6,36
1,6,7,36
1,7,1,20
1,7,1,31
1,7,1,34
1,7,1,40
1,7,2,37
1,7,6,37
1,7,7,37
1,8,1,30
1,8,1,41
1,8,1,44
1,8,1,50
1,8,2,38
1,8,6,38
1,8,7,38
1,9,1,10
1,9,1,40
1,9,1,51
1,9,1,54
1,9,2,39
1,9,6,39
1,9,7,39
1,10,1,24
1,10,1,51
1,10,2,40
1,10,6,40
1,10,7,40
1,11,1,17
1,11,1,20
1,11,1,23
1,11,2,41
1,11,6,41
1,11,7,41
1,12,1,16
1,12,1,18
1,12,1,24
1,12,1,58
1,12,2,42
1,12,6,42
1,12,7,42
1,13,1,17
1,13,1,51
1,13,1,57
1,13,1,59
1,13,2,43
1,13,6,43
1,13,7,43
1,14,1,50
1,14,1,52
1,14,1,58
1,14,2,44
1,14,6,44
1,14,7,44
1,15,1,26
1,15,1,59
1,15,2,45
1,15,6,45
1,15,7,45
1,16,1,55
1,16,1,58
1,16,2,46
1,16,6,46
1,16,7,46
1,17,1,23
1,17,1,59
1,17,2,47
1,17,6,47
1,17,7,47
1,18,1,22
1,18,1,24
1,18,1,26
1,18,2,48
1,18,6,48
1,18,7,48
1,19,1,23
1,19,1,25
1,19,1,27
1,19,2,49
1,19,6,49
1,19,7,49
1,20,1,34
1,20,2,50
1,20,6,50
1,20,7,50
1,21,1,27
1,21,1,30
1,21,1,33
1,21,2,51
1,21,6,51
1,21,7,51
1,22,1,26
1,22,1,28
1,22,1,34
1,22,2,52
1,22,6,52
1,22,7,52
1,23,1,27
1,23,2,53
1,23,6,53
1,23,7,53
1,24,2,54
1,24,6,54
1,24,7,54
1,25,1,36
1,25,2,55
1,25,6,55
1,25,7,55
1,26,2,56
1,26,6,56
1,26,7,56
1,27,1,33
1,27,2,57
1,27,6,57
1,27,7,57
1,28,1,32
1,28,1,34
1,28,1,36
1,28,2,58
1,28,6,58
1,28,7,58
1,29,1,33
1,29,1,35
1,29,1,37
1,29,2,59
1,29,6,59
1,29,7,59
1,30,1,44
1,30,2,0
1,30,6,0
1,30,7,0
1,31,1,37
1,31,1,40
1,31,1,43
1,31,2,1
1,31,6,1
1,31,7,1
1,32,1,36
1,32,1,38
1,32,1,44
1,32,2,2
1,32,6,2
1,32,7,2
1,33,1,37
1,33,2,3
1,33,6,3
1,33,7,3
1,34,2,4
1,34,6,4
1,34,7,4
1,35,1,46
1,35,2,5
1,35,6,5
1,35,7,5
1,36,2,6
1,36,6,6
1,36,7,6
1,37,1,43
1,37,2,7
1,37,6,7
1,37,7,7
1,38,1,42
1,38,1,44
1,38,1,46
1,38,2,8
1,38,6,8
1,38,7,8
1,39,1,43
1,39,1,45
1,39,1,47
1,39,2,9
1,39,6,9
1,39,7,9
1,40,1,54
1,40,2,10
1,40,6,10
1,40,7,10
1,41,1,47
1,41,1,50
1,41,1,53
1,41,2,11
1,41,6,11
1,41,7,11
1,42,1,46
1,42,1,48
1,42,1,54
1,42,2,12
1,42,6,12
1,42,7,12
1,43,1,47
1,43,2,13
1,43,6,13
1,43,7,13
1,44,2,14
1,44,6,14
1,44,7,14
1,45,1,56
1,45,2,15
1,45,6,15
1,45,7,15
1,46,2,16
1,46,6,16
1,46,7,16
1,47,1,53
1,47,2,17
1,47,6,17
1,47,7,17
1,48,1,52
1,48,1,54
1,48,1,56
1,48,2,18
1,48,6,18
1,48,7,18
1,49,1,53
1,49,1,55
1,49,1,57
1,49,2,19
1,49,6,19
1,49,7,19
1,50,2,20
1,50,6,20
1,50,7,20
1,51,1,57
1,51,2,21
1,51,6,21
1,51,7,21
1,52,1,56
1,52,1,58
1,52,2,22
1,52,6,22
1,52,7,22
1,53,1,57
1,53,2,23
1,53,6,23
1,53,7,23
1,54,2,24
1,54,6,24
1,54,7,24
1,55,2,25
1,55,6,25
1,55,7,25
1,56,2,26
1,56,6,26
1,56,7,26
1,57,2,27
1,57,6,27
1,57,7,27
1,58,2,28
1,58,6,28
1,58,7,28
1,59,2,29
1,59,6,29
1,59,7,29
2,0,2,16
2,0,2,19
2,0,2,25
2,0,2,55
2,0,3,30
2,0,7,30
2,0,8,30
2,1,2,15
2,1,2,26
2,1,2,29
2,1,2,35
2,1,3,31
2,1,7,31
2,1,8,31
2,2,2,25
2,2,2,36
2,2,2,39
2,2,2,45
2,2,3,32
2,2,7,32
2,2,8,32
2,3,2,35
2,3,2,46
2,3,2,49
2,3,2,55
2,3,3,33
2,3,7,33
2,3,8,33
2,4,2,15
2,4,2,45
2,4,2,56
2,4,2,59
2,4,3,34
2,4,7,34
2,4,8,34
2,5,2,11
2,5,2,14
2,5,2,20
2,5,2,50
2,5,3,35
2,5,7,35
2,5,8,35
2,6,2,10
2,6,2,21
2,6,2,24
2,6,2,30
2,6,3,36
2,6,7,36
2,6,8,36
2,7,2,20
2,7,2,31
2,7,2,34
2,7,2,40
2,7,3,37
2,7,7,37
2,7,8,37
2,8,2,30
2,8,2,41
2,8,2,44
2,8,2,50
2,8,3,38
2,8,7,38
2,8,8,38
2,9,2,10
2,9,2,40
2,9,2,51
2,9,2,54
2,9,3,39
2,9,7,39
2,9,8,39
2,10,2,24
2,10,2,51
2,10,3,40
2,10,7,40
2,10,8,40
2,11,2,17
2,11,2,20
2,11,2,23
2,11,3,41
2,11,7,41
2,11,8,41
2,12,2,16
2,12,2,18
2,12,2,24
2,12,2,58
2,12,3,42
2,12,7,42
2,12,8,42
2,13,2,17
2,13,2,51
2,13,2,57
2,13,2,59
2,13,3,43
2,13,7,43
2,13,8,43
2,14,2,50
2,14,2,52
2,14,2,58
2,14,3,44
2,14,7,44
2,14,8,44
