u_vertex,v_vertex,u_slot,u_local,v_slot,v_local,kind
0,16,0,0,0,16,internal_thalion_copy
0,19,0,0,0,19,internal_thalion_copy
0,25,0,0,0,25,internal_thalion_copy
0,55,0,0,0,55,internal_thalion_copy
0,90,0,0,1,30,external_signed_carrier
0,270,0,0,4,30,external_signed_carrier
0,330,0,0,5,30,external_signed_carrier
0,390,0,0,6,30,external_signed_carrier
1,15,0,1,0,15,internal_thalion_copy
1,26,0,1,0,26,internal_thalion_copy
1,29,0,1,0,29,internal_thalion_copy
1,35,0,1,0,35,internal_thalion_copy
1,91,0,1,1,31,external_signed_carrier
1,271,0,1,4,31,external_signed_carrier
1,331,0,1,5,31,external_signed_carrier
1,391,0,1,6,31,external_signed_carrier
2,25,0,2,0,25,internal_thalion_copy
2,36,0,2,0,36,internal_thalion_copy
2,39,0,2,0,39,internal_thalion_copy
2,45,0,2,0,45,internal_thalion_copy
2,92,0,2,1,32,external_signed_carrier
2,272,0,2,4,32,external_signed_carrier
2,332,0,2,5,32,external_signed_carrier
2,392,0,2,6,32,external_signed_carrier
3,35,0,3,0,35,internal_thalion_copy
3,46,0,3,0,46,internal_thalion_copy
3,49,0,3,0,49,internal_thalion_copy
3,55,0,3,0,55,internal_thalion_copy
3,93,0,3,1,33,external_signed_carrier
3,273,0,3,4,33,external_signed_carrier
3,333,0,3,5,33,external_signed_carrier
3,393,0,3,6,33,external_signed_carrier
4,15,0,4,0,15,internal_thalion_copy
4,45,0,4,0,45,internal_thalion_copy
4,56,0,4,0,56,internal_thalion_copy
4,59,0,4,0,59,internal_thalion_copy
4,94,0,4,1,34,external_signed_carrier
4,274,0,4,4,34,external_signed_carrier
4,334,0,4,5,34,external_signed_carrier
4,394,0,4,6,34,external_signed_carrier
5,11,0,5,0,11,internal_thalion_copy
5,14,0,5,0,14,internal_thalion_copy
5,20,0,5,0,20,internal_thalion_copy
5,50,0,5,0,50,internal_thalion_copy
5,95,0,5,1,35,external_signed_carrier
5,275,0,5,4,35,external_signed_carrier
5,335,0,5,5,35,external_signed_carrier
5,395,0,5,6,35,external_signed_carrier
6,10,0,6,0,10,internal_thalion_copy
6,21,0,6,0,21,internal_thalion_copy
6,24,0,6,0,24,internal_thalion_copy
6,30,0,6,0,30,internal_thalion_copy
6,96,0,6,1,36,external_signed_carrier
6,276,0,6,4,36,external_signed_carrier
6,336,0,6,5,36,external_signed_carrier
6,396,0,6,6,36,external_signed_carrier
7,20,0,7,0,20,internal_thalion_copy
7,31,0,7,0,31,internal_thalion_copy
7,34,0,7,0,34,internal_thalion_copy
7,40,0,7,0,40,internal_thalion_copy
7,97,0,7,1,37,external_signed_carrier
7,277,0,7,4,37,external_signed_carrier
7,337,0,7,5,37,external_signed_carrier
7,397,0,7,6,37,external_signed_carrier
8,30,0,8,0,30,internal_thalion_copy
8,41,0,8,0,41,internal_thalion_copy
8,44,0,8,0,44,internal_thalion_copy
8,50,0,8,0,50,internal_thalion_copy
8,98,0,8,1,38,external_signed_carrier
8,278,0,8,4,38,external_signed_carrier
8,338,0,8,5,38,external_signed_carrier
8,398,0,8,6,38,external_signed_carrier
9,10,0,9,0,10,internal_thalion_copy
9,40,0,9,0,40,internal_thalion_copy
9,51,0,9,0,51,internal_thalion_copy
9,54,0,9,0,54,internal_thalion_copy
9,99,0,9,1,39,external_signed_carrier
9,279,0,9,4,39,external_signed_carrier
9,339,0,9,5,39,external_signed_carrier
9,399,0,9,6,39,external_signed_carrier
10,24,0,10,0,24,internal_thalion_copy
10,51,0,10,0,51,internal_thalion_copy
10,100,0,10,1,40,external_signed_carrier
10,280,0,10,4,40,external_signed_carrier
10,340,0,10,5,40,external_signed_carrier
10,400,0,10,6,40,external_signed_carrier
11,17,0,11,0,17,internal_thalion_copy
11,20,0,11,0,20,internal_thalion_copy
11,23,0,11,0,23,internal_thalion_copy
11,101,0,11,1,41,external_signed_carrier
11,281,0,11,4,41,external_signed_carrier
11,341,0,11,5,41,external_signed_carrier
11,401,0,11,6,41,external_signed_carrier
12,16,0,12,0,16,internal_thalion_copy
12,18,0,12,0,18,internal_thalion_copy
12,24,0,12,0,24,internal_thalion_copy
12,58,0,12,0,58,internal_thalion_copy
12,102,0,12,1,42,external_signed_carrier
12,282,0,12,4,42,external_signed_carrier
12,342,0,12,5,42,external_signed_carrier
12,402,0,12,6,42,external_signed_carrier
13,17,0,13,0,17,internal_thalion_copy
13,51,0,13,0,51,internal_thalion_copy
13,57,0,13,0,57,internal_thalion_copy
13,59,0,13,0,59,internal_thalion_copy
13,103,0,13,1,43,external_signed_carrier
13,283,0,13,4,43,external_signed_carrier
13,343,0,13,5,43,external_signed_carrier
13,403,0,13,6,43,external_signed_carrier
14,50,0,14,0,50,internal_thalion_copy
14,52,0,14,0,52,internal_thalion_copy
14,58,0,14,0,58,internal_thalion_copy
14,104,0,14,1,44,external_signed_carrier
14,284,0,14,4,44,external_signed_carrier
14,344,0,14,5,44,external_signed_carrier
14,404,0,14,6,44,external_signed_carrier
15,26,0,15,0,26,internal_thalion_copy
15,59,0,15,0,59,internal_thalion_copy
15,105,0,15,1,45,external_signed_carrier
15,285,0,15,4,45,external_signed_carrier
15,345,0,15,5,45,external_signed_carrier
15,405,0,15,6,45,external_signed_carrier
16,55,0,16,0,55,internal_thalion_copy
16,58,0,16,0,58,internal_thalion_copy
16,106,0,16,1,46,external_signed_carrier
16,286,0,16,4,46,external_signed_carrier
16,346,0,16,5,46,external_signed_carrier
16,406,0,16,6,46,external_signed_carrier
17,23,0,17,0,23,internal_thalion_copy
17,59,0,17,0,59,internal_thalion_copy
17,107,0,17,1,47,external_signed_carrier
17,287,0,17,4,47,external_signed_carrier
17,347,0,17,5,47,external_signed_carrier
17,407,0,17,6,47,external_signed_carrier
18,22,0,18,0,22,internal_thalion_copy
18,24,0,18,0,24,internal_thalion_copy
18,26,0,18,0,26,internal_thalion_copy
18,108,0,18,1,48,external_signed_carrier
18,288,0,18,4,48,external_signed_carrier
18,348,0,18,5,48,external_signed_carrier
18,408,0,18,6,48,external_signed_carrier
19,23,0,19,0,23,internal_thalion_copy
19,25,0,19,0,25,internal_thalion_copy
19,27,0,19,0,27,internal_thalion_copy
19,109,0,19,1,49,external_signed_carrier
19,289,0,19,4,49,external_signed_carrier
19,349,0,19,5,49,external_signed_carrier
19,409,0,19,6,49,external_signed_carrier
20,34,0,20,0,34,internal_thalion_copy
20,110,0,20,1,50,external_signed_carrier
20,290,0,20,4,50,external_signed_carrier
20,350,0,20,5,50,external_signed_carrier
20,410,0,20,6,50,external_signed_carrier
21,27,0,21,0,27,internal_thalion_copy
21,30,0,21,0,30,internal_thalion_copy
21,33,0,21,0,33,internal_thalion_copy
21,111,0,21,1,51,external_signed_carrier
21,291,0,21,4,51,external_signed_carrier
21,351,0,21,5,51,external_signed_carrier
21,411,0,21,6,51,external_signed_carrier
22,26,0,22,0,26,internal_thalion_copy
22,28,0,22,0,28,internal_thalion_copy
22,34,0,22,0,34,internal_thalion_copy
22,112,0,22,1,52,external_signed_carrier
22,292,0,22,4,52,external_signed_carrier
22,352,0,22,5,52,external_signed_carrier
22,412,0,22,6,52,external_signed_carrier
23,27,0,23,0,27,internal_thalion_copy
23,113,0,23,1,53,external_signed_carrier
23,293,0,23,4,53,external_signed_carrier
23,353,0,23,5,53,external_signed_carrier
23,413,0,23,6,53,external_signed_carrier
24,114,0,24,1,54,external_signed_carrier
24,294,0,24,4,54,external_signed_carrier
24,354,0,24,5,54,external_signed_carrier
24,414,0,24,6,54,external_signed_carrier
25,36,0,25,0,36,internal_thalion_copy
25,115,0,25,1,55,external_signed_carrier
25,295,0,25,4,55,external_signed_carrier
25,355,0,25,5,55,external_signed_carrier
25,415,0,25,6,55,external_signed_carrier
26,116,0,26,1,56,external_signed_carrier
26,296,0,26,4,56,external_signed_carrier
26,356,0,26,5,56,external_signed_carrier
26,416,0,26,6,56,external_signed_carrier
27,33,0,27,0,33,internal_thalion_copy
27,117,0,27,1,57,external_signed_carrier
27,297,0,27,4,57,external_signed_carrier
27,357,0,27,5,57,external_signed_carrier
27,417,0,27,6,57,external_signed_carrier
28,32,0,28,0,32,internal_thalion_copy
28,34,0,28,0,34,internal_thalion_copy
28,36,0,28,0,36,internal_thalion_copy
28,118,0,28,1,58,external_signed_carrier
28,298,0,28,4,58,external_signed_carrier
28,358,0,28,5,58,external_signed_carrier
28,418,0,28,6,58,external_signed_carrier
29,33,0,29,0,33,internal_thalion_copy
29,35,0,29,0,35,internal_thalion_copy
29,37,0,29,0,37,internal_thalion_copy
29,119,0,29,1,59,external_signed_carrier
29,299,0,29,4,59,external_signed_carrier
29,359,0,29,5,59,external_signed_carrier
29,419,0,29,6,59,external_signed_carrier
30,44,0,30,0,44,internal_thalion_copy
30,60,0,30,1,0,external_signed_carrier
30,240,0,30,4,0,external_signed_carrier
30,300,0,30,5,0,external_signed_carrier
30,360,0,30,6,0,external_signed_carrier
31,37,0,31,0,37,internal_thalion_copy
31,40,0,31,0,40,internal_thalion_copy
31,43,0,31,0,43,internal_thalion_copy
31,61,0,31,1,1,external_signed_carrier
31,241,0,31,4,1,external_signed_carrier
31,301,0,31,5,1,external_signed_carrier
31,361,0,31,6,1,external_signed_carrier
32,36,0,32,0,36,internal_thalion_copy
32,38,0,32,0,38,internal_thalion_copy
32,44,0,32,0,44,internal_thalion_copy
32,62,0,32,1,2,external_signed_carrier
32,242,0,32,4,2,external_signed_carrier
32,302,0,32,5,2,external_signed_carrier
32,362,0,32,6,2,external_signed_carrier
33,37,0,33,0,37,internal_thalion_copy
33,63,0,33,1,3,external_signed_carrier
33,243,0,33,4,3,external_signed_carrier
33,303,0,33,5,3,external_signed_carrier
33,363,0,33,6,3,external_signed_carrier
34,64,0,34,1,4,external_signed_carrier
34,244,0,34,4,4,external_signed_carrier
34,304,0,34,5,4,external_signed_carrier
34,364,0,34,6,4,external_signed_carrier
35,46,0,35,0,46,internal_thalion_copy
